"id","volume","pubid","name","floruit","sex","notbefore","notafter","status","placecode","region","settlement","district","lat","long"
"V3a-10650","3a","7","Κόσμος","s.ii AD","1","150","199","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10651","3a","1","Κοσπίννιος","imp.","1","-31","310","","LGPN_33457","Lakonia","Hyperteleaton","","36.7352","22.9028"
"V3a-10652","3a","1","Κοσσαῖος","c.160-165AD","1","160","165","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10653","3a","1","Κόττινα","iv/iii BC","2","-325","-275","het.","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10654","3a","1","Κραταίδας","her.","1","-998","-700","oikist/dub.","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10655","3a","2","Κραταιμένης","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10656","3a","6","Κρατέας","c.25-1BC","1","-25","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10657","3a","1","Κρατηἱδάμεια","iii BC","2","-300","-200","","LGPN_33457","Lakonia","Hyperteleaton","","36.7352","22.9028"
"V3a-10658","3a","1","Κρατηἱππίδας","ii BC","1","-200","-100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10659","3a","1","Κρατήἱππος","iii/ii BC","1","-225","-175","","LGPN_33462","Lakonia","Oitylos","","36.7081","22.3884"
"V3a-10660","3a","1","Κρατησικλέα","imp.","2","-31","310","","LGPN_34168","Lakonia","Messa","","36.5457","22.3655"
"V3a-10661","3a","1","Κρατησίκλεια","Mvi BC","2","-575","-525","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10662","3a","2","Κρατησίκλεια","c.280-219BC","2","-280","-219","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10663","3a","2","Κρατησικλῆς","c.100AD","1","100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10664","3a","1","Κρατησικλῆς","425BC","1","-425","-425","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10665","3a","2","Κρατησίνικος","ii BC","1","-200","-100","","LGPN_33449","Lakonia","Asopos","","36.685","22.8467"
"V3a-10666","3a","1","Κρατησιππίδας","409BC","1","-409","-409","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10667","3a","1","Κρατήσιππος","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10668","3a","2","Κρατήσιππος","s.i BC","1","-50","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10669","3a","3","Κρατήσιππος","i AD","1","0","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10670","3a","1","Κρατίας","i-ii AD","1","100","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10671","3a","11","Κρατῖνος","arch.","1","-999","-480","sculptor","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10672","3a","12","Κρατῖνος","f.i AD","1","1","50","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10673","3a","1","Κρατιστόλας","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10674","3a","7","Κράτων","211-212AD","1","211","212","","LGPN_33472","Lakonia","Thalamai","","36.7847","22.3289"
"V3a-10675","3a","7","Κριτόδαμος","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10677","3a","8","Κριτόδαμος","c.110-120AD","1","110","120","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10679","3a","1","Κριτόνικος","c.160-170AD","1","160","170","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
